name,state,district,latitude,longitude
Jalgaon Market,Maharashtra,Jalgaon,20.8428826,75.5261246
Lasalgaon APMC,Maharashtra,Nashik,20.0112475,73.7902364
Vashi APMC,Maharashtra,Navi Mumbai,19.0754557,73.0118132
Amritsar Mandi,Punjab,Amritsar,31.6356659,74.8787496
Ludhiana APMC,Punjab,Ludhiana,30.9090157,75.851601
Lucknow APMC,Uttar Pradesh,Lucknow,26.8381,80.9346001
Kanpur Mandi,Uttar Pradesh,Kanpur,26.4609135,80.3217588
Surat APMC,Gujarat,Surat,21.2094892,72.8317058
Rajkot Mandi,Gujarat,Rajkot,22.3053263,70.8028377
Belagavi APMC,Karnataka,Belagavi,16.1587846,74.888862
Hubballi APMC,Karnataka,Dharwad,15.3707296,75.1332867
